Layer,SAE 2
0,0.29083892703056335
1,0.4913605749607086
2,0.4758266806602478
3,0.4997490346431732
4,0.6123986840248108
5,0.5879275798797607
6,0.594069242477417
7,0.575298547744751
8,0.6019279360771179
9,0.6304581165313721
10,0.5963770747184753
11,0.4980095624923706
