Layer,SAE 2
0,0.17557696998119354
1,0.5427669286727905
2,0.5431551933288574
3,0.5907613635063171
4,0.6835979223251343
5,0.6729198694229126
6,0.6770370006561279
7,0.663316011428833
8,0.6783424615859985
9,0.7018996477127075
10,0.6798751354217529
11,0.6020507216453552
